Date,League,HomeTeam,AwayTeam,FixtureId,Referee,FtOver3Pred,FtOver4Pred,FtOver5Pred,FtOver6Pred,ActualTotalCards
2026-09-13,Premier League,Coventry City,Brighton,19722170,T Harrington,80.45658413876001,61.443626892649576,37.74368488588653,24.92498300464057,
2026-09-13,Premier League,Man United,Man City,19722166,M Oliver,72.65971590508865,58.75625978934217,37.172235246519556,17.642546772334917,
2026-09-13,Bundesliga,RB Leipzig,Hamburg,19735178,F Badstübner,75.75757575757575,56.060606060606055,39.39393939393939,25.757575757575758,
2026-09-13,Bundesliga,Elversberg,Bayern Munich,19735171,S Stegemann,58.82352941176471,41.17647058823529,26.47058823529412,17.647058823529413,
2026-09-13,Ligue 1,Lille,Troyes,19715606,R Lissorgue,82.35294117647058,67.64705882352942,47.05882352941176,23.52941176470588,
2026-09-13,Ligue 1,Le Mans,Lens,19715607,H Ben El Hadj,85.29411764705883,61.76470588235294,44.11764705882353,26.47058823529412,
2026-09-13,Ligue 1,Brest,Paris SG,19715609,W Delajod,62.121212121212125,36.36363636363637,24.242424242424242,9.090909090909092,
2026-09-13,Serie A,Lecce,Monza,19713582,V Crezzini,71.05263157894737,47.368421052631575,34.21052631578947,18.421052631578945,
2026-09-13,Serie A,Napoli,Bologna,19713581,K Bonacina,67.56756756756756,43.24324324324324,29.72972972972973,18.91891891891892,
2026-09-13,Serie A,Sassuolo,Juventus,19713580,J Sacchi,83.78378378378379,62.16216216216216,37.83783783783784,17.56756756756757,
2026-09-13,La Liga,Celta,Málaga,19732701,C Muñiz Muñoz,84.21052631578947,57.89473684210527,39.473684210526315,28.947368421052634,
2026-09-13,La Liga,Levante,Barcelona,19732699,J González Esteban,81.08108108108108,59.45945945945946,44.5945945945946,32.432432432432435,
2026-09-13,La Liga,Getafe,Deportivo A Coruña,19732700,R De Burgos Bengoetxea,89.47368421052632,78.94736842105263,65.78947368421053,47.368421052631575,
2026-09-13,La Liga,Sociedad,Ath Madrid,19732695,J Martínez Munuera,82.43243243243244,62.16216216216216,40.54054054054054,28.37837837837838,
2026-09-12,Premier League,Liverpool,Fulham,19722167,T Bramall,67.9222825609154,58.76266216860182,39.71839212163124,24.035097956883764,1
2026-09-12,Premier League,Crystal Palace,Ipswich Town,19722169,C Kavanagh,73.77539063575243,63.267365053535684,42.22006004689949,10.570735190888783,5
2026-09-12,Premier League,Chelsea,Hull City,19722171,F Hallam,68.9758965222237,66.09016509307506,52.19426465724949,26.81916901057429,6
