Date,HomeTeam,AwayTeam,HomeBookings,AwayBookings,HomeCorners,AwayCorners,Referee
2024-08-23,M'gladbach,Leverkusen,1,0,2,4,R Schröder
2024-08-24,RB Leipzig,VfL Bochum 1848,2,3,9,3,B Brand
2024-08-24,Dortmund,Ein Frankfurt,0,1,7,7,F Zwayer
2024-08-24,Hoffenheim,Holstein Kiel,2,4,8,6,T Stieler
2024-08-24,Freiburg,Stuttgart,2,1,6,3,T Welz
2024-08-24,Augsburg,Werder Bremen,3,1,4,2,S Stegemann
2024-08-25,VfL Wolfsburg,Bayern Munich,2,3,1,7,D Siebert
2024-08-24,Mainz,Union Berlin,1,3,8,9,H Osmers
2024-08-25,St. Pauli,FC Heidenheim,2,3,4,2,Sven Jablonski
2024-08-31,Leverkusen,RB Leipzig,3,1,18,2,M Jöllenbeck
2024-08-31,Stuttgart,Mainz,4,2,11,2,T Gerach
2024-09-01,Bayern Munich,Freiburg,1,0,2,4,C Dingert
2024-08-31,Ein Frankfurt,Hoffenheim,0,3,1,4,F Badstübner
2024-09-01,FC Heidenheim,Augsburg,1,4,5,6,M Petersen
2024-08-31,Werder Bremen,Dortmund,2,8,5,6,R Hartmann
2024-08-30,Union Berlin,St. Pauli,3,1,5,4,B Dankert
2024-08-31,VfL Bochum 1848,M'gladbach,1,0,3,4,S Storks
2024-08-31,Holstein Kiel,VfL Wolfsburg,4,7,1,7,F Exner
2024-09-14,RB Leipzig,Union Berlin,2,3,6,5,Sven Jablonski
2024-09-13,Dortmund,FC Heidenheim,2,2,8,1,R Schröder
2024-09-14,Hoffenheim,Leverkusen,2,2,4,12,D Schlager
2024-09-14,Freiburg,VfL Bochum 1848,0,3,5,6,D Siebert
2024-09-15,Augsburg,St. Pauli,4,3,7,7,F Zwayer
2024-09-14,VfL Wolfsburg,Ein Frankfurt,1,2,5,4,H Osmers
2024-09-15,Mainz,Werder Bremen,3,2,10,4,B Brand
2024-09-14,M'gladbach,Stuttgart,2,2,6,2,F Brych
2024-09-14,Holstein Kiel,Bayern Munich,0,1,2,10,T Reichel
2024-09-22,Leverkusen,VfL Wolfsburg,4,6,6,2,S Stegemann
2024-09-22,Stuttgart,Dortmund,1,3,6,4,F Badstübner
2024-09-21,Ein Frankfurt,M'gladbach,1,1,8,5,T Welz
2024-09-21,FC Heidenheim,Freiburg,1,1,3,9,B Brand
2024-09-21,Werder Bremen,Bayern Munich,0,3,1,4,B Dankert
2024-09-20,Augsburg,Mainz,4,6,14,1,S Storks
2024-09-21,Union Berlin,Hoffenheim,3,3,5,5,M Jöllenbeck
2024-09-21,VfL Bochum 1848,Holstein Kiel,4,1,2,5,M Petersen
2024-09-22,St. Pauli,RB Leipzig,2,1,3,1,R Hartmann
2024-09-28,Bayern Munich,Leverkusen,1,3,6,1,F Zwayer
2024-09-28,RB Leipzig,Augsburg,1,2,8,5,D Siebert
2024-09-27,Dortmund,VfL Bochum 1848,2,0,11,0,F Brych
2024-09-29,Hoffenheim,Werder Bremen,4,3,2,6,T Reichel
2024-09-28,Freiburg,St. Pauli,3,3,4,2,T Gerach
2024-09-28,VfL Wolfsburg,Stuttgart,5,3,1,3,Sven Jablonski
2024-09-28,Mainz,FC Heidenheim,5,5,7,6,F Exner
2024-09-28,M'gladbach,Union Berlin,3,1,2,4,D Schlager
2024-09-29,Holstein Kiel,Ein Frankfurt,1,3,4,9,T Stieler
2024-10-05,Leverkusen,Holstein Kiel,2,2,12,3,R Hartmann
2024-10-06,Stuttgart,Hoffenheim,1,4,10,5,H Osmers
2024-10-06,Ein Frankfurt,Bayern Munich,1,1,0,11,B Brand
2024-10-06,FC Heidenheim,RB Leipzig,2,2,3,2,S Stegemann
2024-10-05,Werder Bremen,Freiburg,1,1,7,5,T Welz
2024-10-04,Augsburg,M'gladbach,2,4,6,5,F Badstübner
2024-10-05,Union Berlin,Dortmund,4,4,3,3,T Reichel
2024-10-05,VfL Bochum 1848,VfL Wolfsburg,1,2,7,6,M Burda
2024-10-05,St. Pauli,Mainz,0,3,2,2,C Dingert
2024-10-19,Leverkusen,Ein Frankfurt,2,1,8,3,F Brych
2024-10-19,Bayern Munich,Stuttgart,0,2,7,3,T Stieler
2024-10-18,Dortmund,St. Pauli,2,1,7,1,M Jöllenbeck
2024-10-19,Hoffenheim,VfL Bochum 1848,1,1,4,2,S Storks
2024-10-19,Freiburg,Augsburg,1,1,5,4,B Dankert
2024-10-20,VfL Wolfsburg,Werder Bremen,2,1,4,4,D Schlager
2024-10-19,Mainz,RB Leipzig,1,3,5,3,F Zwayer
2024-10-19,M'gladbach,FC Heidenheim,3,3,6,3,D Siebert
2024-10-20,Holstein Kiel,Union Berlin,2,1,7,3,T Gerach
2024-10-26,Stuttgart,Holstein Kiel,4,7,9,5,R Hartmann
2024-10-26,RB Leipzig,Freiburg,3,2,3,3,Sven Jablonski
2024-10-27,FC Heidenheim,Hoffenheim,1,2,7,3,C Dingert
2024-10-26,Werder Bremen,Leverkusen,1,1,3,5,F Badstübner
2024-10-26,Augsburg,Dortmund,3,4,3,5,W Haslberger
2024-10-25,Mainz,M'gladbach,3,2,2,4,M Petersen
2024-10-27,Union Berlin,Ein Frankfurt,5,4,4,5,H Osmers
2024-10-27,VfL Bochum 1848,Bayern Munich,1,1,2,6,F Exner
2024-10-26,St. Pauli,VfL Wolfsburg,0,3,7,6,T Reichel
2024-11-01,Leverkusen,Stuttgart,3,4,10,2,D Siebert
2024-11-02,Bayern Munich,Union Berlin,0,2,7,4,M Jöllenbeck
2024-11-02,Dortmund,RB Leipzig,3,4,4,0,T Stieler
2024-11-02,Ein Frankfurt,VfL Bochum 1848,1,2,5,2,D Schlager
2024-11-02,Hoffenheim,St. Pauli,0,1,7,2,S Stegemann
2024-11-03,Freiburg,Mainz,1,2,8,4,B Brand
