Date,HomeTeam,AwayTeam,HomeBookings,AwayBookings,HomeCorners,AwayCorners,Referee
2024-08-15,Ath Bilbao,Getafe,4,1,5,6,A Muñíz Ruiz
2024-08-15,Betis,Girona,2,0,4,4,M Ortiz Arias
2024-08-18,Mallorca,Real Madrid,1,1,8,7,C Soto Grado
2024-08-16,Las Palmas,Sevilla,2,2,6,3,F Hernández Maeso
2024-08-19,Villarreal,Ath Madrid,1,3,2,3,G Cuadra Fernández
2024-08-17,Valencia,Barcelona,2,3,3,8,J Sánchez Martínez
2024-08-18,Sociedad,Vallecano,2,4,10,5,A Hernández Hernández
2024-08-16,Celta,Alaves,2,2,3,3,A Quintero González
2024-08-17,Osasuna,Leganés,3,2,6,4,J Pulido Santana
2024-08-19,Real Valladolid,Espanol,2,2,3,2,P González Fuertes
2024-08-25,Ath Madrid,Girona,1,3,1,9,J Martínez Munuera
2024-08-23,Celta,Valencia,3,0,4,7,J Munuera Montero
2024-08-24,Getafe,Vallecano,1,2,3,2,Javier Alberola Rojas
2024-08-25,Real Madrid,Real Valladolid,1,1,5,5,V García Verdura
2024-08-23,Sevilla,Villarreal,3,5,7,2,I Díaz de Mera Escuderos
2024-08-25,Alaves,Betis,2,4,3,8,M Busquets Ferrer
2024-08-25,Leganés,Las Palmas,1,1,3,7,R De Burgos Bengoetxea
2024-08-24,Espanol,Sociedad,2,2,7,4,M Melero López
2024-08-24,Barcelona,Ath Bilbao,4,5,5,6,J Gil Manzano
2024-08-24,Osasuna,Mallorca,2,1,5,4,A Cordero Vega
2024-08-28,Ath Bilbao,Valencia,1,3,5,3,P González Fuertes
2024-09-18,Betis,Getafe,3,5,8,4,J Pulido Santana
2024-08-29,Girona,Osasuna,0,0,5,0,F Hernández Maeso
2024-08-27,Mallorca,Sevilla,0,2,5,9,A Muñíz Ruiz
2024-08-29,Las Palmas,Real Madrid,0,3,2,6,M Busquets Ferrer
2024-08-27,Vallecano,Barcelona,3,1,6,6,C Soto Grado
2024-08-26,Villarreal,Celta,4,3,7,4,M Ortiz Arias
2024-08-28,Sociedad,Alaves,5,4,8,6,J Sánchez Martínez
2024-08-28,Real Valladolid,Leganés,1,4,4,4,A Quintero González
2024-08-28,Ath Madrid,Espanol,0,2,9,3,R De Burgos Bengoetxea
2024-08-31,Ath Bilbao,Ath Madrid,3,1,2,2,A Hernández Hernández
2024-08-31,Barcelona,Real Valladolid,0,3,10,1,I Díaz de Mera Escuderos
2024-09-01,Getafe,Sociedad,1,1,4,1,J Munuera Montero
2024-08-31,Valencia,Villarreal,3,6,14,3,J Gil Manzano
2024-09-01,Alaves,Las Palmas,3,0,6,5,V García Verdura
2024-08-31,Leganés,Mallorca,1,3,1,3,M Melero López
2024-08-31,Espanol,Vallecano,3,2,3,7,A Cordero Vega
2024-09-01,Real Madrid,Betis,2,0,7,3,Javier Alberola Rojas
2024-09-01,Osasuna,Celta,2,1,6,3,J Martínez Munuera
2024-09-01,Sevilla,Girona,3,2,7,5,J Sánchez Martínez
2024-09-15,Ath Madrid,Valencia,1,2,7,3,C Soto Grado
2024-09-13,Betis,Leganés,1,2,11,1,P González Fuertes
2024-09-15,Celta,Real Valladolid,3,6,5,3,F Hernández Maeso
2024-09-14,Mallorca,Villarreal,4,3,7,6,R De Burgos Bengoetxea
2024-09-15,Las Palmas,Ath Bilbao,1,3,9,3,M Ortiz Arias
2024-09-15,Girona,Barcelona,3,3,1,6,A Muñíz Ruiz
2024-09-14,Sevilla,Getafe,4,4,3,4,M Busquets Ferrer
2024-09-16,Vallecano,Osasuna,3,2,7,4,A Quintero González
2024-09-14,Sociedad,Real Madrid,4,1,6,6,J Martínez Munuera
2024-09-14,Espanol,Alaves,2,3,0,5,J Pulido Santana
2024-09-22,Ath Bilbao,Celta,3,2,3,6,J Sánchez Martínez
2024-09-23,Betis,Mallorca,3,3,6,3,V García Verdura
2024-09-22,Getafe,Leganés,3,2,6,2,A Cordero Vega
2024-09-20,Alaves,Sevilla,1,4,3,5,Javier Alberola Rojas
2024-09-22,Vallecano,Ath Madrid,0,0,3,4,M Melero López
2024-09-22,Villarreal,Barcelona,6,1,7,3,M Busquets Ferrer
2024-09-21,Valencia,Girona,3,2,5,4,A Hernández Hernández
2024-09-21,Real Valladolid,Sociedad,4,4,5,7,G Cuadra Fernández
2024-09-21,Osasuna,Las Palmas,2,5,2,4,I Díaz de Mera Escuderos
