Date,HomeTeam,AwayTeam,HomeBookings,AwayBookings,HomeCorners,AwayCorners,Referee
2024-08-17,Brest,Marseille,4,1,5,0,B Bastien
2024-08-18,Montpellier,Strasbourg,4,3,6,4,M Vernice
2024-08-18,Toulouse,Nantes,1,3,10,5,J Stinat
2024-08-18,Angers,Lens,1,0,7,3,T Léonard
2024-08-17,Monaco,Saint-Étienne,1,1,5,4,C Turpin
2024-08-17,Reims,Lille,3,2,0,8,E Wattellier
2024-08-18,Auxerre,Nice,0,0,3,5,R Lissorgue
2024-08-16,Le Havre,Paris SG,3,0,2,8,W Delajod
2024-08-18,Rennes,Lyon,2,1,7,7,B Millot
2024-08-23,Paris SG,Montpellier,1,4,10,2,M Bollengier
2024-08-25,Strasbourg,Rennes,2,4,2,5,E Wattellier
2024-08-25,Nantes,Auxerre,2,2,3,12,G Angoula
2024-08-24,Saint-Étienne,Le Havre,3,3,2,4,F Batta
2024-08-24,Lille,Angers,1,2,3,2,A Kherradji
2024-08-25,Nice,Toulouse,4,2,4,4,B Dechepy
2024-08-25,Lens,Brest,3,3,5,2,J Pignard
2024-08-24,Lyon,Monaco,2,4,0,6,S Frappart
2024-08-25,Marseille,Reims,1,1,2,4,H Ben El Hadj
2024-09-01,Lille,Paris SG,3,2,3,1,B Bastien
2024-08-30,Lyon,Strasbourg,3,2,9,2,T Léonard
2024-08-31,Brest,Saint-Étienne,0,5,7,2,G Angoula
2024-08-31,Montpellier,Nantes,2,2,8,3,B Millot
2024-09-01,Angers,Nice,6,5,4,7,J Stinat
2024-09-01,Monaco,Lens,1,4,7,7,W Delajod
2024-09-01,Le Havre,Auxerre,1,6,2,2,M Bollengier
2024-09-01,Reims,Rennes,2,2,3,5,M Vernice
2024-08-31,Toulouse,Marseille,5,2,2,3,S Frappart
2024-09-14,Auxerre,Monaco,3,0,1,6,A Kherradji
2024-09-15,Rennes,Montpellier,1,3,3,4,J Pignard
2024-09-15,Lens,Lyon,0,0,5,8,B Dechepy
2024-09-15,Nantes,Reims,3,1,6,3,W Delajod
2024-09-15,Toulouse,Le Havre,1,1,6,5,E Wattellier
2024-09-15,Strasbourg,Angers,4,1,6,9,H Ben El Hadj
2024-09-13,Saint-Étienne,Lille,1,1,2,7,F Letexier
2024-09-14,Marseille,Nice,6,3,1,2,B Millot
2024-09-14,Paris SG,Brest,2,3,9,1,C Turpin
2024-09-22,Lyon,Marseille,4,4,10,3,B Bastien
2024-09-20,Nice,Saint-Étienne,0,1,3,2,T Léonard
2024-09-21,Reims,Paris SG,2,1,3,5,J Pignard
2024-09-22,Brest,Toulouse,1,1,4,3,F Batta
2024-09-22,Angers,Nantes,1,4,3,6,M Vernice
2024-09-22,Montpellier,Auxerre,3,4,11,5,H Ben El Hadj
2024-09-21,Lille,Strasbourg,2,2,9,5,J Brisard
2024-09-21,Rennes,Lens,2,4,4,3,J Stinat
2024-09-22,Monaco,Le Havre,1,3,6,4,S Frappart
2024-09-29,Strasbourg,Marseille,2,1,8,3,W Delajod
2024-09-27,Paris SG,Rennes,2,3,6,4,H Ben El Hadj
2024-09-27,Auxerre,Brest,2,0,2,3,J Stinat
2024-09-28,Lens,Nice,4,2,11,4,F Letexier
2024-09-29,Nantes,Saint-Étienne,3,2,8,4,A Kherradji
2024-09-28,Le Havre,Lille,2,1,1,5,B Dechepy
2024-09-29,Toulouse,Lyon,2,2,3,4,G Angoula
2024-09-28,Monaco,Montpellier,4,4,6,2,M Bollengier
2024-09-29,Angers,Reims,0,3,5,4,E Wattellier
2024-10-06,Lyon,Nantes,1,2,6,9,M Bollengier
2024-10-06,Nice,Paris SG,1,2,5,15,J Brisard
2024-10-05,Lille,Toulouse,3,2,4,6,C Turpin
2024-10-05,Saint-Étienne,Auxerre,3,1,5,4,M Vernice
2024-10-06,Brest,Le Havre,5,1,1,9,B Millot
2024-10-04,Marseille,Angers,5,1,9,3,R Lissorgue
2024-10-05,Rennes,Monaco,2,4,10,4,T Léonard
2024-10-06,Strasbourg,Lens,2,4,3,5,S Frappart
2024-10-06,Reims,Montpellier,3,5,4,4,B Bastien
2024-10-20,Auxerre,Reims,2,3,5,9,F Batta
2024-10-20,Toulouse,Angers,2,4,8,2,W Delajod
2024-10-20,Le Havre,Lyon,3,4,4,6,A Kherradji
2024-10-20,Nantes,Nice,2,1,4,8,G Angoula
2024-10-20,Montpellier,Marseille,2,3,3,2,C Turpin
2024-10-18,Monaco,Lille,2,5,6,1,E Wattellier
2024-10-19,Saint-Étienne,Lens,2,2,2,7,R Lissorgue
2024-10-19,Brest,Rennes,2,2,2,4,B Dechepy
2024-10-19,Paris SG,Strasbourg,2,2,5,5,J Stinat
2024-10-27,Nice,Monaco,2,6,6,6,J Pignard
2024-10-26,Lens,Lille,4,5,8,2,B Bastien
2024-10-27,Marseille,Paris SG,2,0,1,2,F Letexier
2024-10-27,Lyon,Auxerre,0,4,5,5,J Stinat
2024-10-27,Montpellier,Toulouse,3,2,1,3,T Léonard
2024-10-27,Strasbourg,Nantes,2,3,5,4,H Ben El Hadj
2024-10-25,Rennes,Le Havre,2,5,14,0,F Batta
2024-10-26,Angers,Saint-Étienne,1,3,2,3,M Bollengier
2024-10-26,Reims,Brest,3,2,7,3,J Brisard
2024-11-03,Auxerre,Rennes,0,2,3,8,G Angoula
2024-11-03,Toulouse,Reims,0,3,6,7,M Vernice
2024-11-01,Monaco,Angers,1,1,4,4,A Kherradji
2024-11-03,Le Havre,Montpellier,2,1,2,10,S Frappart
2024-11-03,Nantes,Marseille,1,1,2,5,B Dechepy
2024-11-01,Lille,Lyon,3,1,4,9,J Brisard
2024-11-02,Saint-Étienne,Strasbourg,2,1,2,3,E Wattellier
2024-11-02,Brest,Nice,0,2,6,2,C Turpin
2024-11-02,Paris SG,Lens,1,5,7,4,W Delajod
2024-11-08,Marseille,Auxerre,3,2,5,3,M Bollengier
2024-11-10,Lyon,Saint-Étienne,3,2,7,6,W Delajod
2024-11-10,Montpellier,Brest,5,1,3,7,J Pignard
2024-11-10,Le Havre,Reims,1,4,8,7,H Ben El Hadj
2024-11-09,Strasbourg,Monaco,5,2,1,2,B Dechepy
2024-11-09,Lens,Nantes,2,0,6,1,C Turpin
2024-11-10,Rennes,Toulouse,3,1,5,3,R Lissorgue
2024-11-10,Nice,Lille,2,2,6,2,J Stinat
2024-11-09,Angers,Paris SG,0,3,6,8,B Millot
2024-11-22,Paris SG,Toulouse,1,2,7,5,G Angoula
2024-11-23,Lens,Marseille,5,3,6,0,E Wattellier
2024-11-24,Nice,Strasbourg,2,0,4,7,B Bastien
2024-11-23,Saint-Étienne,Montpellier,3,5,5,11,F Batta
2024-11-24,Lille,Rennes,3,2,3,3,M Vernice
2024-11-24,Nantes,Le Havre,2,1,10,2,J Brisard
2024-11-22,Monaco,Brest,2,2,2,8,T Léonard
2024-11-24,Auxerre,Angers,4,1,2,2,F Letexier
2024-11-23,Reims,Lyon,2,0,4,2,S Frappart
2024-11-29,Reims,Lens,1,2,3,1,A Kherradji
2024-11-30,Rennes,Saint-Étienne,0,2,6,1,M Bollengier
2024-12-01,Le Havre,Angers,2,0,2,4,W Delajod
2024-12-01,Toulouse,Auxerre,0,0,6,2,H Ben El Hadj
2024-11-30,Brest,Strasbourg,3,2,4,3,R Lissorgue
2024-12-01,Montpellier,Lille,5,5,7,2,B Millot
2024-11-30,Paris SG,Nantes,0,0,9,3,J Stinat
2024-12-01,Marseille,Monaco,0,1,5,3,C Turpin
2024-12-01,Lyon,Nice,1,2,5,4,B Dechepy
2024-12-07,Nice,Le Havre,3,2,5,8,F Letexier
2024-12-06,Auxerre,Paris SG,2,1,3,15,J Pignard
2024-12-08,Saint-Étienne,Marseille,1,1,0,9,J Brisard
2024-12-07,Angers,Lyon,1,2,2,7,M Bollengier
2024-12-06,Lille,Brest,1,1,2,1,B Bastien
2024-12-08,Lens,Montpellier,2,3,6,3,M Vernice
2024-12-08,Strasbourg,Reims,1,2,3,2,T Léonard
2024-12-08,Nantes,Rennes,1,2,5,5,E Wattellier
2024-12-07,Monaco,Toulouse,2,2,2,3,S Frappart
2024-12-15,Rennes,Angers,3,1,2,1,H Ben El Hadj
2024-12-15,Le Havre,Strasbourg,0,1,3,2,A Kherradji
2024-12-14,Reims,Monaco,1,3,1,4,R Lissorgue
2024-12-14,Auxerre,Lens,3,1,3,5,J Stinat
2024-12-13,Toulouse,Saint-Étienne,3,4,2,3,T Léonard
2024-12-15,Montpellier,Nice,1,2,9,4,C Turpin
2024-12-15,Brest,Nantes,3,3,0,5,G Angoula
2024-12-14,Marseille,Lille,2,3,3,8,W Delajod
2024-12-15,Paris SG,Lyon,2,3,4,3,B Bastien
2024-12-18,Monaco,Paris SG,2,0,1,9,F Letexier
2025-01-04,Lyon,Montpellier,1,2,3,5,J Stinat
2025-01-05,Lens,Toulouse,6,2,7,1,H Ben El Hadj
2025-01-04,Saint-Étienne,Reims,2,1,6,9,S Frappart
2025-01-05,Angers,Brest,2,1,2,4,B Millot
2025-01-04,Lille,Nantes,1,2,2,0,J Pignard
2025-01-05,Marseille,Le Havre,1,0,4,0,T Léonard
2025-01-05,Strasbourg,Auxerre,1,2,4,3,F Batta
2025-01-03,Nice,Rennes,4,3,3,3,J Brisard
2025-01-12,Toulouse,Strasbourg,1,4,3,2,B Bastien
2025-01-10,Nantes,Monaco,3,0,3,11,M Bollengier
2025-01-10,Auxerre,Lille,1,4,6,10,G Angoula
2025-01-11,Reims,Nice,4,2,6,3,W Delajod
2025-01-12,Le Havre,Lens,2,2,3,8,C Turpin
2025-01-12,Montpellier,Angers,8,2,3,3,R Lissorgue
2025-01-11,Brest,Lyon,1,2,4,7,E Wattellier
2025-01-12,Paris SG,Saint-Étienne,1,2,7,3,B Millot
2025-01-11,Rennes,Marseille,2,2,2,3,A Kherradji
2025-01-19,Marseille,Strasbourg,2,3,9,3,B Dechepy
2025-01-18,Lens,Paris SG,1,3,6,1,J Pignard
2025-01-17,Lille,Nice,1,3,7,7,F Letexier
2025-01-18,Lyon,Toulouse,1,0,8,5,B Millot
2025-01-19,Saint-Étienne,Nantes,2,1,7,7,F Batta
2025-01-17,Montpellier,Monaco,1,2,4,16,J Brisard
2025-01-19,Reims,Le Havre,2,2,6,6,M Vernice
2025-01-19,Angers,Auxerre,2,2,4,2,S Frappart
2025-01-18,Rennes,Brest,2,3,4,4,T Léonard
2025-01-25,Strasbourg,Lille,4,2,6,7,W Delajod
2025-01-26,Nantes,Lyon,3,1,4,8,B Bastien
2025-01-25,Monaco,Rennes,3,3,4,2,J Stinat
2025-01-26,Toulouse,Montpellier,1,2,6,2,C Turpin
2025-01-26,Le Havre,Brest,2,3,6,6,R Lissorgue
2025-01-24,Auxerre,Saint-Étienne,2,0,3,4,M Bollengier
2025-01-26,Lens,Angers,1,1,4,4,A Kherradji
2025-01-25,Paris SG,Reims,2,2,8,1,H Ben El Hadj
2025-01-26,Nice,Marseille,1,1,6,12,E Wattellier
2025-02-02,Marseille,Lyon,4,1,6,2,J Brisard
2025-02-01,Brest,Paris SG,1,0,4,7,B Bastien
2025-01-31,Montpellier,Lens,4,3,4,5,B Dechepy
2025-02-01,Lille,Saint-Étienne,1,2,7,1,E Wattellier
2025-02-02,Reims,Nantes,4,3,9,3,B Millot
2025-02-02,Angers,Le Havre,3,5,4,2,J Pignard
2025-02-02,Toulouse,Nice,2,2,7,2,T Léonard
2025-02-02,Rennes,Strasbourg,3,3,6,2,S Frappart
2025-02-01,Monaco,Auxerre,2,2,5,4,A Kherradji
2025-02-09,Auxerre,Toulouse,1,1,3,5,J Brisard
2025-02-07,Nantes,Brest,3,2,12,4,J Pignard
2025-02-09,Strasbourg,Montpellier,1,4,6,2,J Stinat
2025-02-08,Lille,Le Havre,2,1,8,10,T Léonard
2025-02-08,Saint-Étienne,Rennes,1,5,2,4,M Vernice
2025-02-07,Paris SG,Monaco,1,0,1,1,C Turpin
2025-02-09,Lyon,Reims,2,3,6,6,F Letexier
2025-02-09,Angers,Marseille,1,2,1,7,H Ben El Hadj
2025-02-08,Nice,Lens,1,5,7,3,R Lissorgue
2025-02-15,Toulouse,Paris SG,2,0,5,2,W Delajod
2025-02-15,Marseille,Saint-Étienne,1,1,14,3,A Kherradji
2025-02-16,Montpellier,Lyon,3,1,7,4,M Bollengier
2025-02-16,Lens,Strasbourg,5,2,7,3,B Millot
2025-02-14,Brest,Auxerre,2,2,6,4,B Dechepy
2025-02-16,Rennes,Lille,3,1,4,8,R Lissorgue
2025-02-16,Reims,Angers,2,1,1,4,F Batta
2025-02-16,Le Havre,Nice,2,3,6,2,S Frappart
2025-02-15,Monaco,Nantes,1,2,9,1,T Léonard
2025-02-21,Rennes,Reims,1,4,9,2,M Bollengier
2025-02-23,Le Havre,Toulouse,1,2,5,3,F Letexier
2025-02-22,Lille,Monaco,4,2,1,6,B Bastien
2025-02-23,Strasbourg,Brest,3,1,1,8,C Turpin
2025-02-23,Nantes,Lens,2,5,2,11,J Brisard
2025-02-22,Saint-Étienne,Angers,3,0,4,3,B Dechepy
2025-02-22,Auxerre,Marseille,1,4,2,5,J Stinat
2025-02-23,Nice,Montpellier,1,1,8,5,W Delajod
2025-02-23,Lyon,Paris SG,1,1,5,4,E Wattellier
2025-03-01,Paris SG,Lille,0,2,9,3,F Letexier
2025-03-02,Marseille,Nantes,1,2,3,2,S Frappart
2025-03-02,Lyon,Brest,2,1,2,5,B Millot
2025-03-02,Montpellier,Rennes,2,1,6,5,F Batta
2025-03-01,Saint-Étienne,Nice,2,1,3,4,J Brisard
2025-03-01,Lens,Le Havre,2,2,9,2,J Pignard
2025-03-02,Auxerre,Strasbourg,1,4,5,3,M Vernice
2025-02-28,Monaco,Reims,0,0,7,2,E Wattellier
2025-03-02,Angers,Toulouse,3,3,4,9,J Stinat
2025-03-09,Le Havre,Saint-Étienne,2,3,5,6,C Turpin
2025-03-09,Reims,Auxerre,1,1,6,12,R Lissorgue
2025-03-09,Nantes,Strasbourg,1,1,3,9,H Ben El Hadj
2025-03-07,Toulouse,Monaco,1,3,3,5,M Bollengier
2025-03-09,Nice,Lyon,1,2,9,2,B Bastien
2025-03-09,Brest,Angers,1,1,6,6,A Kherradji
2025-03-08,Lille,Montpellier,2,3,7,1,J Pignard
2025-03-08,Rennes,Paris SG,1,4,3,2,M Vernice
2025-03-08,Marseille,Lens,3,1,7,0,T Léonard
2025-03-16,Paris SG,Marseille,1,0,5,5,C Turpin
2025-03-14,Nice,Auxerre,2,3,7,3,A Kherradji
2025-03-16,Brest,Reims,2,3,4,4,J Brisard
2025-03-16,Lyon,Le Havre,2,3,4,1,B Dechepy
2025-03-15,Lens,Rennes,1,1,5,4,S Frappart
2025-03-16,Strasbourg,Toulouse,0,2,4,3,F Batta
2025-03-15,Nantes,Lille,3,3,3,5,B Millot
2025-03-15,Angers,Monaco,1,2,0,9,W Delajod
2025-03-30,Angers,Rennes,1,0,6,5,T Léonard
2025-03-30,Auxerre,Montpellier,3,1,10,6,M Bollengier
2025-03-30,Le Havre,Nantes,1,2,3,4,E Wattellier
2025-03-28,Strasbourg,Lyon,2,2,6,5,R Lissorgue
2025-03-30,Toulouse,Brest,0,5,10,3,H Ben El Hadj
2025-03-29,Saint-Étienne,Paris SG,2,0,3,6,J Stinat
2025-03-29,Reims,Marseille,0,0,0,12,W Delajod
2025-03-30,Lille,Lens,1,3,6,2,M Vernice
2025-03-29,Monaco,Nice,3,5,7,4,J Brisard
2025-04-06,Marseille,Toulouse,2,3,5,1,J Pignard
2025-04-04,Nice,Nantes,1,1,11,2,H Ben El Hadj
2025-04-05,Brest,Monaco,3,3,2,9,T Léonard
2025-04-06,Montpellier,Le Havre,2,1,5,2,B Bastien
2025-04-05,Lyon,Lille,3,2,1,3,E Wattellier
2025-04-06,Lens,Saint-Étienne,3,2,6,3,R Lissorgue
2025-04-05,Paris SG,Angers,0,3,5,1,M Bollengier
2025-04-06,Reims,Strasbourg,3,3,4,7,C Turpin
2025-04-06,Rennes,Auxerre,0,0,8,5,F Batta
2025-04-12,Toulouse,Lille,1,2,4,2,J Brisard
2025-04-13,Le Havre,Rennes,2,3,4,3,W Delajod
2025-04-13,Auxerre,Lyon,3,2,3,6,S Frappart
2025-04-22,Nantes,Paris SG,2,0,4,4,J Pignard
2025-04-12,Strasbourg,Nice,1,2,2,9,J Pignard
2025-04-13,Saint-Étienne,Brest,2,4,7,9,A Kherradji
2025-04-13,Angers,Montpellier,0,2,6,1,B Millot
2025-04-11,Lens,Reims,1,0,9,2,F Letexier
2025-04-12,Monaco,Marseille,2,1,4,4,B Bastien
2025-04-20,Saint-Étienne,Lyon,3,4,8,6,F Letexier
2025-04-20,Nice,Angers,1,1,4,2,J Stinat
2025-04-20,Brest,Lens,1,0,7,6,B Millot
2025-04-20,Lille,Auxerre,1,3,8,4,T Léonard
2025-04-19,Paris SG,Le Havre,0,0,7,3,M Vernice
2025-04-19,Marseille,Montpellier,2,2,7,2,J Brisard
2025-04-20,Reims,Toulouse,1,1,0,9,M Bollengier
2025-04-19,Monaco,Strasbourg,3,3,3,2,E Wattellier
2025-04-18,Rennes,Nantes,3,6,10,2,A Kherradji
